unit,vehicle,serial_no,description,axle_position,measure_date,pan_size,since
220013,60313,M66000133,POWER SANDER WHEELSET B5005  (ROT),3,30/11/2016,767.12,421194
220026,60326,M66000053,POWER SANDER WHEELSET B5005  (ROT),3,13/09/2017,729.87,851028
220018,60418,M66000105,POWER SANDER WHEELSET B5005  (ROT),3,26/08/2017,763.17,449110
220012,60412,M66000094,POWER SANDER WHEELSET B5005  (ROT),3,26/04/2017,770.39,294155
220011,60411,E9550.42,POWER SANDER WHEELSET B5005  (ROT),3,10/06/2017,751.11,380285
220030,60430,M66000236R,POWER SANDER WHEELSET B5005  (ROT),3,31/05/2017,774.71,126038
220029,60229,M66000233,POWER WHEELSET B5005  (ROT),2,11/11/2016,735.17,1022903
220027,60427,M66000074,POWER SANDER WHEELSET B5005  (ROT),3,13/04/2017,765.4,366227
220016,60416,M66000290RG,POWER SANDER WHEELSET B5005  (ROT),3,02/04/2017,758.73,472480
220014,60414,M66000156,POWER SANDER WHEELSET B5005  (ROT),3,04/10/2017,762.2,274298
